,tax_id,tax_level,genus_tax_id,name,category,SRR11440668,SRR11440704,SRR11440674,SRR11440652,SRR11440647,SRR11440604,SRR11440710,SRR11440624,SRR11440628,SRR11440741,SRR11440736,SRR11440729,SRR11440607,SRR11440679,SRR11440682,SRR11440644,SRR11440620,SRR11440738,SRR11440708,SRR11440660,SRR11440622,SRR11440602,SRR11440698,SRR11440707,SRR11440613,SRR11440695,SRR11440637,SRR11440740,SRR11440638,SRR11440605,SRR11440725,SRR11440606,SRR11440687,SRR11440673,SRR11440667,SRR11440719,SRR11440609,SRR11440692,SRR11440612,SRR11440727,SRR11440724,SRR11440617,SRR11440712,SRR11440619,SRR11440705,SRR11440669,SRR11440636,SRR11440739,SRR11440662,SRR11440623,SRR11440621,SRR11440610,SRR11440700,SRR11440632,SRR11440684,SRR11440678,SRR11440691,SRR11440603,SRR11440666,SRR11440672,SRR11440659,SRR11440686,SRR11440650,SRR11440627,SRR11440633,SRR11440683,SRR11440694,SRR11440616,SRR11440648,SRR11440601,SRR11440676,SRR11440665,SRR11440733,SRR11440670,SRR11440744,SRR11440693,SRR11440709,SRR11440641,SRR11440717,SRR11440699,SRR11440626,SRR11440654,SRR11440728,SRR11440732,SRR11440742,SRR11440629,SRR11440664,SRR11440723,SRR11440671,SRR11440661,SRR11440653,SRR11440608,SRR11440714,SRR11440713,SRR11440697,SRR11440651,SRR11440743,SRR11440734,SRR11440706,SRR11440722,SRR11440696,SRR11440715,SRR11440618,SRR11440675,SRR11440681,SRR11440625,SRR11440718,SRR11440663,SRR11440615,SRR11440657,SRR11440614,SRR11440631,SRR11440726,SRR11440711,SRR11440685,SRR11440634,SRR11440630,SRR11440688,SRR11440656,SRR11440639,SRR11440649,SRR11440716,SRR11440646,SRR11440642,SRR11440731,SRR11440737,SRR11440658,SRR11440645,SRR11440690,SRR11440721,SRR11440730,SRR11440735,SRR11440720,SRR11440689,SRR11440655,SRR11440680,SRR11440701,SRR11440643,SRR11440677,SRR11440703,SRR11440640,SRR11440635,SRR11440611,SRR11440702
18,13136,1,-200,unidentified marine bacterioplankton,bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,86473,1,-200,uncultured Gammaproteobacteria bacterium,bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,77133,1,-200,uncultured bacterium,bacteria,23.0,4.0,27.0,5.0,32.0,6.0,10.0,10.0,4.0,22.0,6.0,3.0,9.0,15.0,,,17.0,27.0,51.0,,17.0,3.0,8.0,51.0,7.0,6.0,6.0,24.0,6.0,6.0,6.0,8.0,,44.0,6.0,4.0,11.0,6.0,5.0,8.0,18.0,8.0,14.0,34.0,53.0,42.0,21.0,12.0,10.0,16.0,18.0,2.0,2.0,14.0,2.0,26.0,16.0,4.0,2.0,8.0,11.0,2.0,,3.0,21.0,,34.0,42.0,18.0,6.0,24.0,6.0,46.0,8.0,8.0,,14.0,9.0,,20.0,4.0,26.0,4.0,7.0,2.0,17.0,10.0,8.0,200.0,145.0,20.0,14.0,6.0,30.0,2.0,4.0,12.0,,50.0,,9.0,6.0,39.0,44.0,16.0,4.0,,10.0,30.0,4.0,4.0,18.0,10.0,18.0,4.0,10.0,14.0,,6.0,8.0,,6.0,30.0,7.0,6.0,,199.0,6.0,2.0,4.0,7.0,,,2.0,156.0,22.0,4.0,3.0,1.0,6.0,7.0,10.0,2.0,
30,61645,1,547,Enterobacter asburiae,bacteria,70.0,,18.0,,4.0,4.0,,2.0,,,,2.0,2.0,6.0,,,,,27.0,2.0,,16.0,,18.0,,31.0,,,,12.0,2.0,10.0,,20.0,,,4.0,19.0,,,,,,8.0,18.0,57.0,,2.0,,,,2.0,,6.0,,6.0,27.0,14.0,2.0,4.0,5.0,,,2.0,,,18.0,12.0,22.0,,10.0,,,64.0,,,,,2.0,,4.0,8.0,,2.0,4.0,8.0,,,24.0,8.0,4.0,,,4.0,,,3.0,,13.0,,,,21.0,29.0,5.0,1.0,,,7.0,12.0,,6.0,,,,,18.0,,3.0,,,,6.0,2.0,4.0,,9.0,4.0,,,,,,,14.0,4.0,,4.0,,,,,,
31,1812935,1,547,Enterobacter roggenkampii,bacteria,3.0,,4.0,,2.0,,,2.0,,,,,2.0,,,,,2.0,,2.0,,,,5.0,,3.0,,,,,10.0,,,4.0,,,6.0,4.0,,,2.0,,,2.0,4.0,,,,,1.0,,,,,,,1.0,4.0,,14.0,2.0,,,,,,4.0,,,,,,,2.0,7.0,,2.0,,,,2.0,,,,,,,,2.0,2.0,,23.0,,4.0,,,8.0,,1.0,,,,1.0,4.0,3.0,6.0,,,2.0,6.0,,,,,,,,,,,,,3.0,,,,4.0,,,,,,,,,,,,,,,,,
32,550,1,547,Enterobacter cloacae,bacteria,2.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,4.0,4.0,2.0,,2.0,,,,,,,,,,,,,,,,,
34,1816615,1,-200075787,Rhodocyclaceae bacterium ICHIAU1,bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1816604,1,-200075787,Rhodocyclaceae bacterium ICHIJ1,bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,64320,1,11051,Zika virus,viruses,,,,,511.0,,,,166.0,,,,,,,,,,,,,,,,,,,,,,270.0,168.0,,,,98.0,,,,277.0,35.0,256.0,,,,,,,,1009.0,,,,,,,,,137.0,271.0,118.0,,,,,,,,,,,273.0,,,198.0,,,,,,,,155.0,,111.0,,,,,,,,,,,,258.0,,,,,,,,,,,,857.0,,,,197.0,,,,,,,200.0,,,,,244.0,,,476.0,,124.0,,,148.0,,,,,,,,,,,
45,1389713,1,1763,Mycobacterium paragordonae,bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,59814,1,53335,Pantoea dispersa,bacteria,3.0,,,,,,,,,,,,,,,,,,,,,,10.0,,,,10.0,,4.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,4.0,,,,5.0,,6.0,,10.0,,,14.0,,,,1.0,,27.0,2.0,,,2.0,,,,,,11.0,,,,,,,,,,,,,,,,,,27.0,,,,,,5.0,,,,,,,,,,8.0,,,,,,4.0,,,
49,2663009,1,848,Fusobacterium pseudoperiodonticum,bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,573,1,570,Klebsiella pneumoniae,bacteria,168.0,,4.0,,4.0,2.0,,,,,,,,2.0,,2.0,,2.0,2.0,2.0,,7.0,,200.0,,31.0,,,,4.0,4.0,,,6.0,,,3.0,2.0,,2.0,,,,2.0,2.0,142.0,,,,2.0,,,,,,,,2.0,,19.0,,,,,,,4.0,2.0,6.0,,7.0,,1.0,6.0,,,,,,2.0,3.0,2.0,,6.0,,,,,16.0,2.0,,2.0,,2.0,,,4.0,,4.0,,2.0,,4.0,3.0,2.0,,,,2.0,2.0,,,,,,,,,1.0,,,,6.0,,,,,,2.0,,2.0,,,,,,,,,4.0,,,,
52,1134687,1,570,Klebsiella michiganensis,bacteria,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,293424,1,2701,uncultured Gardnerella sp.,bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2702,1,2701,Gardnerella vaginalis,bacteria,4.0,,,,,,,,2.0,,2.0,,2.0,,,,2.0,2.0,2.0,,2.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,2.0,,,,,2.0,,3.0,,,,,,,,,,4.0,,,,2.0,,2.0,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,648995,1,379,Rhizobium pusense,bacteria,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1823,1,1817,Nocardia otitidiscaviarum,bacteria,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,322596,1,57495,Dermacoccus abyssi,bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1274,1,57495,Dermacoccus nishinomiyaensis,bacteria,4.0,,2.0,1.0,2.0,,4.0,,,5.0,,,6.0,2.0,,,6.0,4.0,10.0,,8.0,,,24.0,,,,8.0,,,,,,,4.0,,2.0,2.0,,,,,2.0,7.0,6.0,4.0,9.0,,,18.0,4.0,,,2.0,,4.0,2.0,,,,2.0,2.0,,,14.0,3.0,,9.0,8.0,,,,,,,,4.0,,2.0,2.0,2.0,,,,,,2.0,4.0,,2.0,,2.0,,6.0,3.0,,,,19.0,,,,4.0,,4.0,,,,10.0,,,,2.0,6.0,2.0,12.0,,,,2.0,2.0,,8.0,,,,2.0,2.0,,,,,,,,2.0,,4.0,,,,4.0,,1.0
66,41276,1,41275,Brevundimonas vesicularis,bacteria,4.0,,4.0,2.0,10.0,,6.0,8.0,4.0,9.0,2.0,4.0,,10.0,,4.0,10.0,8.0,19.0,,10.0,2.0,2.0,37.0,,,,8.0,,,2.0,,2.0,2.0,2.0,,,6.0,,,2.0,,16.0,20.0,26.0,2.0,6.0,6.0,2.0,4.0,,,,4.0,,9.0,,2.0,,,2.0,,,,8.0,4.0,,14.0,12.0,2.0,,,,2.0,,,6.0,2.0,,,,6.0,2.0,2.0,,2.0,,,,,2.0,2.0,2.0,7.0,,,,,18.0,,,,12.0,,,,4.0,1.0,16.0,,,4.0,,12.0,,4.0,4.0,,2.0,2.0,4.0,,10.0,2.0,,,,,6.0,,2.0,,,,,8.0,2.0,4.0,2.0,,2.0,2.0,,2.0
68,615,1,613,Serratia marcescens,bacteria,4.0,,65.0,,4.0,,2.0,2.0,6.0,,,97.0,125.0,,4.0,,,2.0,,,,,2.0,2.0,14.0,,,,,,,,,68.0,,2.0,34.0,,4.0,,,20.0,2.0,,,,4.0,,,,,44.0,2.0,,2.0,,,,,,,6.0,,4.0,2.0,2.0,,,2.0,,54.0,,93.0,,,2.0,6.0,,4.0,2.0,2.0,,,45.0,,,,2.0,,,,38.0,12.0,6.0,,,,,2.0,,6.0,4.0,,18.0,,4.0,,,,,4.0,,,4.0,2.0,2.0,,2.0,,10.0,,2.0,10.0,2.0,2.0,,,,,,115.0,,,,,,,,2.0,,,,14.0,
70,29486,1,629,Yersinia ruckeri,bacteria,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,134634,1,178440,Opitutus sp. VeGlc2,bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,28141,1,413496,Cronobacter sakazakii,bacteria,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,891974,1,-200000543,Plautia stali symbiont,bacteria,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
78,1844051,1,234,Brucella sp. 09RB8910,bacteria,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,80866,1,80865,Delftia acidovorans,bacteria,2.0,,,,2.0,,,,,,,,2.0,,,,2.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,4.0,3.0,2.0,4.0,2.0,,2.0,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,2.0,,,,,,,,,,,,2.0,,,36.0,2.0,2.0,,1.0,2.0,,,,,,,,,2.0,,2.0,,,,4.0,,,,,2.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,2.0,,,,,
85,180282,1,80865,Delftia tsuruhatensis,bacteria,2.0,2.0,,,4.0,,4.0,,,8.0,,,,2.0,,,4.0,2.0,2.0,,8.0,,,8.0,,,,2.0,,,,,,,,,,,,2.0,,2.0,,7.0,11.0,2.0,,4.0,,2.0,4.0,,,,,2.0,2.0,,,,,,,,,,,7.0,8.0,2.0,2.0,,2.0,,,,,,,,,,,2.0,,,,2.0,5.0,,,,,4.0,,,,,12.0,,,,4.0,2.0,6.0,,,,4.0,2.0,,2.0,2.0,2.0,,2.0,4.0,,,,,2.0,4.0,2.0,,,,,,,,,,,,1.0,,,,,,,,
91,795665,1,47420,Hydrogenophaga sp. PBC,bacteria,2.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
